name,tailpipe_co2
Porsche Macan Electric Macan Turbo SUV (2024-2025),0
Porsche Macan Electric Macan Turbo SUV (2024-2025),0
ZEEKR X RWD SUV Other (2024-2025),0
ZEEKR X AWD SUV Other (2024-2025),0
Leapmotor C10 1000 SUV Auto (2024-2025),0
Chery Omoda E5 SUV Auto (2024-2025),0
Jeep Avenger Longitude SUV Auto (2024-2025),0
Jeep Avenger Limited SUV Auto (2024-2025),0
Jeep Avenger Summit SUV Auto (2024-2025),0
XPENG G6 STANDARD 18 inch Sedan Auto (2024-2025),0
XPENG G6 STANDARD 20 inch Sedan Auto (2024-2025),0
XPENG G6 Long Range Sedan Auto (2024-2025),0
MG Cyberster 77kWh 4WD  Convertible Auto (2024-2025),0
Smart #1 Premium Hatch Auto (2024-2025),0
Smart #1 Pro+ Hatch Auto (2024-2025),0
Smart #1 Brabus Hatch Auto (2024-2025),0
Smart #3 Pro+ Hatch Auto (2024-2025),0
Smart #3 Brabus Hatch Auto (2024-2025),0
Audi Q4 e-tron 45 Sportback SUV Auto (2024-2025),0
Audi Q4 e-tron 45 SUV Auto (2024-2025),0
Audi Q4 e-tron 55 Sportback quattro SUV Auto (2024-2025),0
Audi Q4 e-tron 55 quattro SUV Auto (2024-2025),0
Deepal S07 Wagon (2024-2025),0
ZEEKR 009 7 Seat AWD Wagon Other (2024-2025),0
ZEEKR 009 6 Seat AWD Wagon Other (2024-2025),0
Skoda Enyaq Coupe SportLine SUV (2024-2025),0
Skoda Enyaq Coupe RS SUV (2024-2025),0
Jaguar I-Pace EV400 Sedan Auto (2024-2025),0
Jaguar I-Pace EV400 Sedan Auto (2024-2025),0
Tesla Model 3 RWD H6MRB Sedan (2024-2025),0
Ssangyong Torres EVX Wagon (2024-2025),0
Porsche Taycan 4S Coupe (2024-2025),0
Porsche Taycan Cross Tourismo Turbo Hatch (2024-2025),0
Porsche Taycan Cross Tourismo Turbo S Hatch (2024-2025),0
Porsche Macan Electric SUV (2024-2025),0
Porsche Taycan Turbo S Coupe (2024-2025),0
Porsche Taycan 4S Performance Battery Coupe (2024-2025),0
Porsche Taycan Turbo GT Coupe (2024-2025),0
Audi Q8 e-tron 55 SUV (2024-2025),0
Porsche Taycan Turbo GT w/Weissach package Coupe (2024-2025),0
Audi Q8 e-tron Sportback 55 SUV (2024-2025),0
Porsche Taycan Cross Tourismo Hatch (2024-2025),0
